order_id,payment_value,payment_type
order_1,445.75524395881445,credit_card
order_2,164.2438153278229,credit_card
order_3,59.290602486387876,credit_card
order_4,318.1586357653606,credit_card
order_5,289.4251160536932,credit_card
order_6,254.09162612325463,credit_card
order_7,193.22761855720248,credit_card
order_8,256.41262134527324,credit_card
order_9,191.16814512466132,credit_card
order_10,45.03535451102124,credit_card
order_11,289.8525588127772,credit_card
order_12,333.17983939342406,credit_card
order_13,468.0462450709156,credit_card
order_14,30.925870774948017,credit_card
order_15,492.9954558048835,credit_card
order_16,258.0747997627786,credit_card
order_17,139.6982664553829,credit_card
order_18,392.3481889312337,credit_card
order_19,207.34281944102744,credit_card
order_20,283.49519448122135,credit_card
order_21,29.995740449412995,credit_card
order_22,165.52516402228323,credit_card
order_23,476.0659578836087,credit_card
order_24,474.78927902633393,credit_card
order_25,424.6258032771415,credit_card
order_26,31.692779634350057,credit_card
order_27,186.9478965774251,credit_card
order_28,445.4038991571469,credit_card
order_29,131.85770807560795,credit_card
order_30,402.7258434993437,credit_card
order_31,21.243556105335504,credit_card
order_32,84.7198849978547,credit_card
order_33,379.04825950009433,credit_card
order_34,153.45718312634443,credit_card
order_35,56.898631748185124,credit_card
order_36,95.73750113534257,credit_card
order_37,135.4188226062194,credit_card
order_38,405.92108978834347,credit_card
order_39,310.78273918691633,credit_card
order_40,287.4082499112512,credit_card
order_41,364.05346824993194,credit_card
order_42,102.40230847568414,credit_card
order_43,93.98384027693328,credit_card
order_44,411.69634795364095,credit_card
order_45,491.3465374470363,credit_card
order_46,352.6956621314268,credit_card
order_47,69.84828347120865,credit_card
order_48,180.3029346028207,credit_card
order_49,453.4014524858099,credit_card
order_50,459.012456488048,credit_card
order_51,481.66934561064323,credit_card
order_52,232.53210341308292,credit_card
order_53,73.73687310153113,credit_card
order_54,34.63380721078997,credit_card
order_55,144.63659778229086,credit_card
order_56,22.32580547290583,credit_card
order_57,180.0368506689931,credit_card
order_58,259.47031262650745,credit_card
order_59,206.90591105080574,credit_card
order_60,366.628913181686,credit_card
order_61,302.02401998041466,credit_card
order_62,471.5608317327386,credit_card
order_63,292.5145762554614,credit_card
order_64,194.3873515328754,credit_card
order_65,134.2569796574461,credit_card
order_66,198.87706147860857,credit_card
order_67,299.8418051201594,credit_card
order_68,190.64949549090574,credit_card
order_69,234.5373098998005,credit_card
order_70,185.00976348361124,credit_card
order_71,416.46051262261517,credit_card
order_72,241.8567370278001,credit_card
order_73,212.7090785217201,credit_card
order_74,482.9993361056631,credit_card
order_75,126.92426111280356,credit_card
order_76,238.79116092708563,credit_card
order_77,270.855285366855,credit_card
order_78,372.864222566967,credit_card
order_79,338.3202575322866,credit_card
order_80,499.14709874620945,credit_card
order_81,108.04971776734058,credit_card
order_82,181.0102816832033,credit_card
order_83,412.7973189572277,credit_card
order_84,484.3340960778436,credit_card
order_85,450.0279104709099,credit_card
order_86,84.01572827542546,credit_card
order_87,137.59512265212766,credit_card
order_88,141.2050754002001,credit_card
order_89,281.33158465598564,credit_card
order_90,404.3758458884725,credit_card
order_91,398.69806056012305,credit_card
order_92,357.4727556276562,credit_card
order_93,484.3339219950398,credit_card
order_94,380.4428453074731,credit_card
order_95,378.11998238926446,credit_card
order_96,101.20606130578823,credit_card
order_97,311.2514705113936,credit_card
order_98,346.5967030816277,credit_card
order_99,456.96784049817154,credit_card
order_100,322.38167209359057,credit_card
